symbol,year,month,day,price
ETH,2018,12,22,116.76
ETH,2018,12,23,130.77
ETH,2018,12,24,140.24
ETH,2018,12,25,129.84
ETH,2018,12,26,131.87
ETH,2018,12,27,116.58
ETH,2018,12,28,137.65
ETH,2018,12,29,138.02
ETH,2018,12,30,139.86
ETH,2018,12,31,133.37
ETH,2019,1,1,140.82
ETH,2019,1,2,155.05
ETH,2019,1,3,149.14
ETH,2019,1,4,154.58
ETH,2019,1,5,155.64
ETH,2019,1,6,157.75
ETH,2019,1,7,151.70
ETH,2019,1,8,150.36
ETH,2019,1,9,150.80
ETH,2019,1,10,128.63
ETH,2019,1,11,127.55
ETH,2019,1,12,125.97
ETH,2019,1,13,116.90
ETH,2019,1,14,129.07
ETH,2019,1,15,122.03
ETH,2019,1,16,123.55
ETH,2019,1,17,123.74
ETH,2019,1,18,121.01
ETH,2019,1,19,124.52
ETH,2019,1,20,119.47
ETH,2019,1,21,117.16
ETH,2019,1,22,118.75
ETH,2019,1,23,117.45
ETH,2019,1,24,117.36
ETH,2019,1,25,116.38
ETH,2019,1,26,116.49
ETH,2019,1,27,113.41
ETH,2019,1,28,106.59
ETH,2019,1,29,105.60
ETH,2019,1,30,108.91
ETH,2019,1,31,107.06
ETH,2019,2,1,107.61
ETH,2019,2,2,110.43
ETH,2019,2,3,107.49
ETH,2019,2,4,107.82
ETH,2019,2,5,107.44
ETH,2019,2,6,104.92
ETH,2019,2,7,104.54
ETH,2019,2,8,119.27
ETH,2019,2,9,119.43
ETH,2019,2,10,124.81
ETH,2019,2,11,121.30
ETH,2019,2,12,122.57
ETH,2019,2,13,122.55
ETH,2019,2,14,121.39
ETH,2019,2,15,122.10
ETH,2019,2,16,123.26
ETH,2019,2,17,133.60
ETH,2019,2,18,146.10
ETH,2019,2,19,145.35
ETH,2019,2,20,149.55
ETH,2019,2,21,146.13
ETH,2019,2,22,149.09
ETH,2019,2,23,158.80
ETH,2019,2,24,135.85
ETH,2019,2,25,139.82
ETH,2019,2,26,138.09
ETH,2019,2,27,136.13
ETH,2019,2,28,136.75
ETH,2019,3,1,136.44
ETH,2019,3,2,134.21
ETH,2019,3,3,132.25
ETH,2019,3,4,127.77
ETH,2019,3,5,137.82
ETH,2019,3,6,138.79
ETH,2019,3,7,138.03
ETH,2019,3,8,135.13
ETH,2019,3,9,137.97
ETH,2019,3,10,136.76
ETH,2019,3,11,133.83
ETH,2019,3,12,134.44
ETH,2019,3,13,133.26
ETH,2019,3,14,133.71
ETH,2019,3,15,137.69
ETH,2019,3,16,142.40
ETH,2019,3,17,140.00
ETH,2019,3,18,139.37
ETH,2019,3,19,140.52
ETH,2019,3,20,140.69
ETH,2019,3,21,136.64
ETH,2019,3,22,137.18
